crop_name,soil_type,n_level,p_level,k_level,urea_kg_ha,dap_kg_ha,mop_kg_ha,npk_complex,application_timing,split_application
Onion,Clayey,Medium,Medium,High,140,90,75,0,"Basal,30 days,60 days",3
Onion,Sandy,Medium,Low,Medium,130,80,60,0,"Basal,30 days,60 days",3
Potato,Red soil,High,High,High,180,140,120,0,"Basal,30 days,60 days",3
Potato,Sandy,Medium,High,Medium,160,130,100,0,"Basal,30 days,60 days",3
Potato,Clayey,High,High,High,200,160,140,0,"Basal,30 days,60 days",3
Potato,Loamy,High,High,High,190,150,130,0,"Basal,30 days,60 days",3
Tomato,Red soil,High,High,High,200,150,100,0,"Basal,30 days,60 days",3
Tomato,Black soil,High,High,High,220,170,120,0,"Basal,30 days,60 days",3
Tomato,Clayey,High,High,High,210,160,110,0,"Basal,30 days,60 days",3
Tomato,Sandy,Medium,Medium,Medium,180,130,90,0,"Basal,30 days,60 days",3
Chilli,Red soil,High,Medium,High,150,120,90,0,"Basal,45 days,90 days",3
Chilli,Black soil,High,High,High,170,140,110,0,"Basal,45 days,90 days",3
Chilli,Sandy,Medium,Medium,Medium,130,100,70,0,"Basal,45 days,90 days",3
Chilli,Clayey,High,Medium,High,160,130,100,0,"Basal,45 days,90 days",3
Brinjal,Red soil,High,High,Medium,160,130,80,0,"Basal,30 days,60 days",3
Brinjal,Black soil,High,High,High,180,150,100,0,"Basal,30 days,60 days",3
Brinjal,Clayey,Medium,High,Medium,150,120,75,0,"Basal,30 days,60 days",3
Brinjal,Sandy,Medium,Medium,Medium,140,110,65,0,"Basal,30 days,60 days",3
Okra,Red soil,Medium,Medium,Medium,120,90,60,0,"Basal and 45 days",2
Okra,Black soil,High,Medium,High,140,110,80,0,"Basal and 45 days",2
Okra,Sandy,Medium,Low,Medium,100,70,50,0,"Basal and 45 days",2
Okra,Clayey,Medium,Medium,High,130,100,70,0,"Basal and 45 days",2
Banana,Red soil,High,High,High,300,200,600,0,"Split application throughout year",6
Banana,Clayey,High,High,High,350,220,650,0,"Split application throughout year",6
Banana,Alluvial,High,High,High,320,210,620,0,"Split application throughout year",6
Banana,Sandy,Medium,Medium,High,280,180,550,0,"Split application throughout year",6
Mango,Red soil,Medium,Medium,High,400,250,500,0,"Split application throughout year",3
Mango,Black soil,High,Medium,High,450,280,550,0,"Split application throughout year",3
Mango,Clayey,Medium,High,High,420,270,530,0,"Split application throughout year",3
Mango,Sandy,Low,Low,Medium,350,200,450,0,"Split application throughout year",3
Grapes,Black soil,High,High,High,300,250,400,0,"Split application throughout year",4
Grapes,Red soil,High,High,High,280,230,380,0,"Split application throughout year",4
Grapes,Sandy,Medium,Medium,Medium,250,200,350,0,"Split application throughout year",4
Grapes,Clayey,High,High,High,320,270,420,0,"Split application throughout year",4
Cucumber,Red soil,Medium,Medium,Medium,100,80,60,0,"Basal and 30 days",2
Cucumber,Black soil,Medium,Medium,Medium,110,85,65,0,"Basal and 30 days",2
Cucumber,Sandy,Low,Low,Medium,90,75,55,0,"Basal and 30 days",2
Cucumber,Clayey,Medium,Medium,High,120,90,70,0,"Basal and 30 days",2
Bitter gourd,Red soil,Medium,Medium,Medium,80,70,50,0,"Basal and 30 days",2
Bitter gourd,Black soil,Medium,Medium,Medium,85,75,55,0,"Basal and 30 days",2
Bitter gourd,Sandy,Low,Low,Low,70,60,40,0,"Basal and 30 days",2
Bitter gourd,Clayey,Medium,Medium,Medium,90,80,60,0,"Basal and 30 days",2
Bottle gourd,Red soil,Medium,Medium,Medium,90,80,60,0,"Basal and 30 days",2
Bottle gourd,Black soil,Medium,Medium,Medium,95,85,65,0,"Basal and 30 days",2
Bottle gourd,Sandy,Low,Low,Medium,80,70,50,0,"Basal and 30 days",2
Bottle gourd,Clayey,Medium,Medium,High,100,90,70,0,"Basal and 30 days",2
Pumpkin,Red soil,Medium,Medium,Medium,80,70,50,0,"Basal and 30 days",2
Pumpkin,Black soil,Medium,Medium,Medium,85,75,55,0,"Basal and 30 days",2
Pumpkin,Sandy,Low,Low,Low,70,60,40,0,"Basal and 30 days",2
Pumpkin,Clayey,Medium,Medium,Medium,90,80,60,0,"Basal and 30 days",2
Watermelon,Red soil,Medium,Medium,Medium,70,60,50,0,"Basal and 30 days",2
Watermelon,Black soil,Medium,Medium,Medium,75,65,55,0,"Basal and 30 days",2
Watermelon,Sandy,Low,Low,Medium,60,50,40,0,"Basal and 30 days",2
Watermelon,Clayey,Medium,Medium,Medium,80,70,60,0,"Basal and 30 days",2
Muskmelon,Red soil,Medium,Medium,Medium,70,60,50,0,"Basal and 30 days",2
Muskmelon,Black soil,Medium,Medium,Medium,75,65,55,0,"Basal and 30 days",2
Muskmelon,Sandy,Low,Low,Medium,60,50,40,0,"Basal and 30 days",2
Muskmelon,Clayey,Medium,Medium,Medium,80,70,60,0,"Basal and 30 days",2
Papaya,Red soil,Medium,High,High,180,120,180,0,"Split application throughout year",4
Papaya,Black soil,Medium,High,High,190,130,190,0,"Split application throughout year",4
Papaya,Sandy,Low,Medium,Medium,160,100,160,0,"Split application throughout year",4
Papaya,Clayey,Medium,High,High,200,140,200,0,"Split application throughout year",4
Sapota,Red soil,Medium,Medium,High,240,120,180,0,"Split application throughout year",3
Sapota,Black soil,Medium,Medium,High,250,130,190,0,"Split application throughout year",3
Sapota,Sandy,Low,Low,Medium,220,100,150,0,"Split application throughout year",3
Sapota,Clayey,Medium,High,High,260,140,200,0,"Split application throughout year",3
Guava,Red soil,Medium,Medium,High,300,150,200,0,"Split application throughout year",3
Guava,Black soil,Medium,Medium,High,320,160,220,0,"Split application throughout year",3
Guava,Sandy,Low,Low,Medium,280,130,180,0,"Split application throughout year",3
Guava,Clayey,Medium,High,High,340,170,240,0,"Split application throughout year",3
Pomegranate,Red soil,Medium,Medium,High,200,100,150,0,"Split application throughout year",3
Pomegranate,Black soil,Medium,Medium,High,220,110,160,0,"Split application throughout year",3
Pomegranate,Sandy,Low,Low,Medium,180,80,130,0,"Split application throughout year",3
Pomegranate,Clayey,Medium,High,High,240,120,180,0,"Split application throughout year",3
Citrus,Red soil,Medium,Medium,High,280,140,180,0,"Split application throughout year",3
Citrus,Black soil,Medium,Medium,High,300,150,200,0,"Split application throughout year",3
Citrus,Sandy,Low,Low,Medium,250,120,160,0,"Split application throughout year",3
Citrus,Clayey,Medium,High,High,320,160,220,0,"Split application throughout year",3
Cashew,Red soil,Low,Medium,Medium,90,45,90,0,"Split application throughout year",2
Cashew,Black soil,Medium,Medium,Medium,100,50,100,0,"Split application throughout year",2
Cashew,Sandy,Low,Low,Low,80,40,80,0,"Split application throughout year",2
Cashew,Clayey,Medium,Medium,Medium,110,55,110,0,"Split application throughout year",2
Jackfruit,Red soil,Medium,Medium,Medium,200,100,150,0,"Split application throughout year",2
Jackfruit,Black soil,Medium,Medium,Medium,220,110,160,0,"Split application throughout year",2
Jackfruit,Sandy,Low,Low,Low,180,90,140,0,"Split application throughout year",2
Jackfruit,Clayey,Medium,Medium,Medium,240,120,170,0,"Split application throughout year",2
Custard Apple,Red soil,Low,Medium,Medium,150,75,100,0,"Split application throughout year",2
Custard Apple,Black soil,Medium,Medium,Medium,170,85,120,0,"Split application throughout year",2
Custard Apple,Sandy,Low,Low,Low,130,65,90,0,"Split application throughout year",2
Custard Apple,Clayey,Medium,Medium,Medium,180,90,130,0,"Split application throughout year",2
Fig,Red soil,Medium,Medium,Medium,120,60,90,0,"Split application throughout year",2
Fig,Black soil,Medium,Medium,Medium,130,70,100,0,"Split application throughout year",2
Fig,Sandy,Low,Low,Low,100,50,80,0,"Split application throughout year",2
Fig,Clayey,Medium,Medium,Medium,140,80,110,0,"Split application throughout year",2
